        Белгородская область;ru-bl;884848597;532857082;401807023;609780770;560715074;469645636;194419325;698946434;264840425;494319049;618252405;190482905;599747532;786302773;581786838;944831302;938894182;566037110;393244793;263883411;548694279
        Брянская область;ru-br;506973134;720089256;144565403;182651026;292487955;740066076;302620090;128209428;358919824;672760493;469412108;611016541;206222868;150722856;700619852;960022992;210715394;187091770;604535151;878446036;358123344
        Владимирская область;ru-vl;832102120;245447260;433639489;575204468;795381382;392008299;377576367;376523106;246087906;193567286;553414614;177275936;932322643;205149054;673143527;214004565;127596848;395374984;789161384;206234389;699277869
        Воронежская область;ru-vr;834572671;973712048;701185474;292314023;746490994;480343117;191026266;316018587;196728194;933706456;891356416;817573147;804794804;362655009;478791574;964103831;827780833;174721965;953549882;741238181;950673639
        Ивановская область;ru-iv;619894768;262341190;331680391;949258886;142025028;515118271;694123912;660390252;123253250;620197515;633181662;477330334;634501531;936476296;608616811;104943180;485660812;982319881;769788979;918571469;919302362
        Калужская область;ru-kg;170807331;333598411;908067979;814360096;945827019;987399382;387793352;211968065;511533555;273230176;159684366;916531069;116369274;405055423;798695568;382645028;755657933;535794947;860723227;731608471;866375170
        Костромская область;ru-kt;296999567;539197537;834233688;101166987;263796209;751776532;840865428;947896969;555938209;328985252;628679833;579231911;641663772;659765767;397644515;882096750;993807687;356937659;864729364;358494817;771998922
        Курская область;ru-ks;887092318;247242935;617388763;711468020;362612731;260819164;173529504;661444910;974216563;539733607;248375444;519876429;808757106;423462099;292506442;585682732;107750375;947839727;897568074;543031729;472085859
        Липецкая область;ru-lp;898856936;762257907;671703078;259845841;778869030;633721320;290657736;663619220;590314272;191261138;801038054;822811557;336343429;428954128;969806328;222624617;964498246;525793038;656022523;330149205;193424638
        Московская область;ru-2509;397751976;642325645;694228660;769609314;963361433;167398184;600174277;699178133;670585911;512858838;251095750;556729874;822241395;382860453;783383516;675394827;933441476;731263766;225035001;425462324;145754692
        Орловская область;ru-ol;576839426;734207420;980526946;629223463;557936039;544571866;318517134;682262295;356163435;207247506;846029445;920607953;993842358;365389152;523756762;462940621;523572251;783356872;279227395;322002275;668206831
        Рязанская область;ru-rz;968843010;854726708;406840080;451243306;591920574;409480042;959513079;923363194;828758476;698491910;798894920;892135283;943615511;301751523;179168349;953999051;853905535;206825387;335138198;514279715;679009572
        Смоленская область;ru-sm;167804611;126071117;496533731;555699561;152954196;235591285;545343214;623822930;929217360;950417877;246265501;375305848;725100321;917918971;105388581;310219799;249714261;980723168;101482671;536385645;380556581
        Тамбовская область;ru-tb;515589286;986243800;925503208;125539013;252289398;984408841;317225588;524855007;309773248;508302033;776469973;806778230;807580680;671046798;787713087;991314488;997822027;473356105;771214201;979228967;198281524
